City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
361,Bluefield,US,57.15,37.2698,-81.2223,Economy Inn
362,Bonavista,CA,37.38,48.6499,-53.1147,Sweet Sharons bnb
363,Kindersley,CA,9.3,51.4668,-109.1682,Kindersley Inn
364,Mapastepec,MX,77.94,15.4333,-92.9,Hotel San Carlos
365,Moron,AR,66.96,-34.6534,-58.6198,Hotel Morón
366,Chicama,PE,59.54,-7.8447,-79.1469,Balihai Bungalows
367,Rajshahi,BD,68.23,24.3667,88.6,Anjum Hotel International
368,Det Udom,TH,68.95,14.906,105.0784,Chatsuda Resort
369,Constitucion,CL,50.58,-35.3333,-72.4167,Hotel Boutique Las Azucenas
370,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
371,Bambous Virieux,MU,74.21,-20.3428,57.7575,Casa Tia Villa
372,Tra Vinh,VN,76.46,9.9347,106.3453,Hồng Ân
373,Arraial Do Cabo,BR,67.98,-22.9661,-42.0278,Pousada Porto Praia
375,Tiarei,PF,78.82,-17.5333,-149.3333,Le Rocher de Tahiti
376,Harrismith,ZA,54.82,-28.2728,29.1295,Sir Harry's Estate
377,Dargaville,NZ,67.93,-35.9333,173.8833,Parkview Motel
378,Coruripe,BR,77.45,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
379,Kampot,KH,78.85,10.6167,104.1833,Two Moons Hotel
380,Halifax,CA,48.69,44.6453,-63.5724,Hotel Halifax
381,Richards Bay,ZA,70.7,-28.783,32.0377,BON Hotel Waterfront Richards Bay
382,Kouroussa,GN,74.17,10.65,-9.8833,Hotel Tando Plus
383,Siguiri,GN,73.45,11.6667,-9.5,
384,Sitka,US,44.49,57.0531,-135.33,Westmark Sitka
385,Komsomolskiy,UZ,54.32,40.4272,71.7189,Ikathouse
386,Hobyo,SO,79.45,5.3505,48.5268,Halane Hotel and Restaurent
387,Lubango,AO,60.87,-14.9172,13.4925,Hotel Serra da Chela
388,Mercedes,AR,65.79,-34.6515,-59.4307,Posada del Inti Centro
389,Necochea,AR,54.75,-38.5473,-58.7368,dyd -mar Hotel
390,Pakxe,LA,68.22,15.1167,105.7833,Champasak Palace Hotel
392,Lasa,IT,46.36,46.6166,10.7002,Pension Feldgärtenhof
393,Leh,IN,30.56,34.1667,77.5833,Hotel Ladakh Greens
394,Pingyi,CN,43.95,35.5006,117.6308,Yiranju Hotel
395,Broken Hill,AU,60.35,-31.95,141.4333,Royal Exchange Hotel
396,La Union,PE,69.15,-5.4,-80.75,Los Portales
397,Mount Gambier,AU,56.71,-37.8333,140.7667,The Commodore
398,Vardo,NO,39.18,70.3705,31.1107,Vardø Hotel AS
399,Mahalapye,BW,68.94,-23.1041,26.8142,Keeme-Nao Hotel
400,Taltal,CL,63.68,-25.4,-70.4833,Residencial Karime
401,Tairua,NZ,69.93,-37.0167,175.85,Pacific Harbour Villas
402,Risti,EE,45.54,58.9975,24.058,Taali talu
403,Puerto Montt,CL,56.23,-41.4698,-72.9447,Holiday Inn Express Puerto Montt
404,Avera,US,64.45,33.194,-82.5271,
405,Margate,GB,49.3,51.3813,1.3862,Premier Inn Margate hotel
406,Nemuro,JP,43.84,43.3236,145.575,Hotel Nemuro Kaiyoutei
407,Iberia,US,77.07,29.9502,-91.7507,back to back rv park
408,Sorland,NO,48.06,67.667,12.6934,Sjybrygga fiskecamp
409,Nizhniy Tsasuchey,RU,21.31,50.5167,115.1333,
410,Jinka,ET,63.84,5.65,36.65,
411,Lucea,JM,79.86,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
412,Bahia Honda,CU,78.04,22.9036,-83.1592,Casa Gualberto - Deysi
413,Korla,CN,44.83,41.7597,86.1469,Gulisitan Hotel
414,Colonia,DE,52.97,50.9333,6.95,Mauritius Hotel & Therme
415,Ostrovnoy,RU,35.33,68.0531,39.5131,
416,Namatanai,PG,86.27,-3.6667,152.4333,Seagulls Inn Namatani
417,Vao,NC,75.67,-22.6667,167.4833,Hotel Kou-Bugny
418,Port Shepstone,ZA,68.41,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
419,Venkatagiri,IN,73.92,13.9667,79.5833,Sri VishnuYamaha
420,Descalvado,BR,58.08,-21.9039,-47.6194,Hotel Descalvado
421,Svarstad,NO,52.83,59.399,9.9698,Sogn Gjestegard
422,Atar,MR,76.53,20.5169,-13.0499,Oumou Elghoura
423,Tura,IN,63.37,25.5198,90.2201,Hotel RIKMAN Continental
424,Alice Springs,AU,69.35,-23.7,133.8833,Desert Palms Alice Springs
425,Ambon,ID,86.14,-3.6954,128.1814,Swiss-Belhotel Ambon
426,Mancio Lima,BR,70.43,-7.6142,-72.8958,Motel Asas Do Desejo
427,Morondava,MG,76.06,-20.2833,44.2833,La Case Bambou
428,Pochutla,MX,81.82,15.7432,-96.4661,Hotel Posada San Jose
429,Marawi,PH,76.28,7.9986,124.2928,Derogongan Residence
430,Macenta,GN,71.73,8.5435,-9.471,Hôtel Yansané
431,Sri Aman,MY,73.67,1.2376,111.4621,Seri Simanggang Hotel
432,Kaka,TM,59.99,37.3482,59.6143,
433,Qasigiannguit,GL,28.65,68.8193,-51.1922,Almost HOME
435,Andapa,MG,60.69,-14.65,49.65,Ramanandraibe Andapa
436,Dawlatabad,AF,62.2,36.4141,64.9053,WASIM ASGAR KHAN
437,Cascais,PT,66.51,38.6979,-9.4215,Hotel Vila Galé Cascais
438,Vila Franca Do Campo,PT,70.2,37.7167,-25.4333,Pestana Bahia Praia
439,Yarada,IN,77.32,17.65,83.2667,Yarada Jungle Beach Resorts
440,Vestmannaeyjar,IS,40.59,63.4427,-20.2734,Glamping & Camping
441,Port Moresby,PG,85.06,-9.4431,147.1797,Lamana Hotel (Port Moresby)
442,Linqiong,CN,56.79,30.4159,103.4609,Tianlun Tanxianglou Hotel
443,Port Hedland,AU,87.85,-20.3167,118.5667,The Esplanade Hotel
444,Izhma,RU,10.81,65.0083,53.9113,
445,Sao Filipe,CV,81.54,14.8961,-24.4956,Hotel Xaguate
446,Hambantota,LK,77.23,6.1241,81.1185,Bungalow 63
447,Lahaina,US,91.4,20.8783,-156.6825,Lahaina Shores Beach Resort
448,Aklavik,CA,5.14,68.2191,-135.0107,Aklavik Inn
449,San Cristobal,VE,73.58,7.7669,-72.225,Pirineos
450,Chatakonda,IN,70.9,17.55,80.65,Hotel Surya Palace
451,Fort Abbas,PK,76.86,29.1925,72.8536,AsAd's House
