City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Cabo San Lucas,MX,22.8909,-109.9124,82.62,75,20,6.91,few clouds
278,Pisco,PE,-13.7,-76.2167,62.65,82,75,14.97,broken clouds
279,Sawtell,AU,-30.3833,153.1,68.02,56,40,12.66,scattered clouds
280,Hervey Bay,AU,-25.2986,152.8535,70.52,60,41,14.63,scattered clouds
281,Akyab,MM,20.15,92.9,75.11,85,0,7.23,clear sky
282,Sale,MA,34.0389,-6.8166,62.74,100,40,0.0,scattered clouds
283,Thayetmyo,MM,19.3167,95.1833,68.97,80,0,1.92,clear sky
284,Ugoofaaru,MV,5.6667,73.0,81.12,76,37,10.65,scattered clouds
285,Kupang,ID,-10.1667,123.5833,84.76,67,100,3.42,overcast clouds
286,Lagoa,PT,39.05,-27.9833,67.05,89,1,13.02,clear sky
287,Hamilton,US,39.1834,-84.5333,65.88,72,20,5.75,few clouds
288,Garden City,US,42.3256,-83.331,61.05,79,40,10.36,scattered clouds
289,Udachnyy,RU,66.4167,112.4,8.46,77,100,16.37,overcast clouds
290,Mamou,GN,10.5,-12.0,70.86,56,100,3.2,overcast clouds
291,Dehloran,IR,32.6941,47.2679,67.1,35,0,4.81,clear sky
292,Yeppoon,AU,-23.1333,150.7333,74.98,55,0,14.72,clear sky
293,Harper,LR,4.375,-7.7169,77.74,88,100,7.09,overcast clouds
294,Kulhudhuffushi,MV,6.6221,73.07,81.25,74,90,8.19,overcast clouds
295,Epe,NG,6.5841,3.9834,76.42,92,92,4.21,light rain
296,Bismarck,US,46.8083,-100.7837,33.64,60,0,12.66,clear sky
297,Hovd,MN,48.0056,91.6419,25.12,78,91,1.39,overcast clouds
298,Ampere,BR,-25.915,-53.4728,54.84,88,0,4.27,clear sky
299,Mattru,SL,7.6244,-11.8332,74.61,93,100,1.99,light rain
300,Kenitra,MA,34.261,-6.5802,59.76,85,69,4.09,broken clouds
301,Nurota,UZ,40.5614,65.6886,53.22,76,55,6.87,light rain
302,Geraldton,AU,-28.7667,114.6,66.61,88,40,8.05,scattered clouds
303,Mizan Teferi,ET,6.9833,35.5833,59.61,86,11,2.89,few clouds
304,Meulaboh,ID,4.1363,96.1285,73.35,96,100,6.02,light rain
305,Diego De Almagro,CL,-26.3667,-70.05,65.57,25,0,2.26,clear sky
306,Calvinia,ZA,-31.4707,19.776,59.63,76,5,5.35,clear sky
307,Emba,KZ,48.8264,58.1442,29.84,87,98,13.0,overcast clouds
308,Buraydah,SA,26.326,43.975,62.8,48,60,9.04,broken clouds
309,Chokurdakh,RU,70.6333,147.9167,-14.39,95,98,3.24,overcast clouds
310,Acapulco,MX,16.8634,-99.8901,82.22,78,0,12.66,clear sky
311,Arman,RU,59.7,150.1667,28.02,92,100,9.71,light snow
312,Amurzet,RU,47.6967,131.0981,25.83,53,4,11.27,clear sky
313,Kavaratti,IN,10.5669,72.642,81.41,74,73,5.32,broken clouds
314,Port Lincoln,AU,-34.7333,135.8667,59.02,63,16,10.2,few clouds
315,Erenhot,CN,43.6475,111.9767,27.0,35,0,8.52,clear sky
316,San Patricio,US,28.017,-97.5169,80.46,81,26,14.16,scattered clouds
317,Abu Kamal,SY,34.4506,40.9171,63.73,41,0,6.87,clear sky
318,Tramore,IE,52.1624,-7.1524,44.64,78,41,11.99,scattered clouds
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.94,68,100,12.44,overcast clouds
320,Pierre,US,44.3683,-100.351,38.86,56,75,14.97,broken clouds
321,Neuquen,AR,-38.9516,-68.0591,82.29,9,0,9.22,clear sky
322,Kolyshley,RU,52.7005,44.5367,33.84,98,100,4.99,overcast clouds
323,Port Hardy,CA,50.6996,-127.4199,39.69,97,100,25.93,light rain
324,Lavrentiya,RU,65.5833,-171.0,15.03,74,43,6.69,scattered clouds
325,Wattegama,LK,6.7989,81.4808,73.2,94,99,0.51,overcast clouds
326,Mount Vernon,US,40.9126,-73.8371,58.84,71,0,5.75,clear sky
327,Fochville,ZA,-26.4886,27.4939,63.68,68,100,6.38,overcast clouds
328,Beloha,MG,-25.1667,45.05,63.5,85,44,6.55,scattered clouds
329,Newberry,US,34.2746,-81.6187,61.5,84,0,5.61,clear sky
330,Alofi,NU,-19.0595,-169.9187,76.82,82,99,19.66,light rain
331,Tilichiki,RU,60.4667,166.1,17.02,97,100,8.99,snow
332,Muli,MV,2.9167,73.5667,81.19,78,84,13.69,light rain
333,Noumea,NC,-22.2763,166.4572,89.58,99,3,17.09,clear sky
334,Sinnamary,GF,5.3833,-52.95,78.28,89,63,7.07,broken clouds
335,Pundaguitan,PH,6.3711,126.1689,82.35,79,99,9.64,overcast clouds
336,Coria,ES,39.9879,-6.5377,56.44,95,67,1.95,broken clouds
337,Santa Cruz,BO,-17.8,-63.1667,65.66,37,3,6.91,clear sky
338,Havre-Saint-Pierre,CA,50.2334,-63.5986,38.61,74,80,8.01,broken clouds
339,Batagay-Alyta,RU,67.8006,130.4114,2.07,98,100,1.99,overcast clouds
340,Ballitoville,ZA,-29.539,31.2144,69.24,93,100,8.97,overcast clouds
341,Stanovoye,RU,52.7638,38.3582,31.24,82,59,4.07,broken clouds
342,Marzuq,YE,14.4,46.4667,65.98,70,0,2.24,clear sky
343,Skjervoy,NO,70.0311,20.9714,41.0,74,93,6.35,overcast clouds
344,Mahanoro,MG,-19.9,48.8,72.5,76,100,6.76,overcast clouds
345,Kutum,SD,14.2,24.6667,60.82,23,88,7.27,overcast clouds
346,Camopi,GF,3.1655,-52.3158,72.86,100,99,1.59,moderate rain
347,Sandanski,BG,41.5667,23.2833,56.71,60,11,1.54,few clouds
